ONS Code,Region or Country,Road user type,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,
N92000002,Northern Ireland,Pedal cyclists,KSI (unadjusted),,46,62,40,64,52,47,59,49,64,,,,,,,,,,,,,
K02000001,United Kingdom,Pedal cyclists,KSI (unadjusted),"3,338","3,291","3,574","3,377","3,537","3,826","3,839","3,815","4,018","4,079",,,,,,,,,,,,,
E12000001,North East,Motorcycle users,KSI (unadjusted),157,173,142,186,169,169,157,173,147,154,,,,,,,,,,,,,
E12000002,North West,Motorcycle users,KSI (unadjusted),611,586,677,578,628,592,561,469,388,446,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Motorcycle users,KSI (unadjusted),530,546,523,495,539,516,514,466,348,454,,,,,,,,,,,,,
E12000004,East Midlands,Motorcycle users,KSI (unadjusted),439,416,473,432,440,428,413,436,340,378,,,,,,,,,,,,,
E12000005,West Midlands,Motorcycle users,KSI (unadjusted),379,394,419,440,477,424,407,395,285,349,,,,,,,,,,,,,
E12000006,East of England,Motorcycle users,KSI (unadjusted),560,561,610,570,670,576,541,530,486,489,,,,,,,,,,,,,
E12000007,London,Motorcycle users,KSI (unadjusted),630,511,526,540,681,"1,099","1,084","1,021",767,927,,,,,,,,,,,,,
E12000008,South East,Motorcycle users,KSI (unadjusted),953,999,"1,107","1,094","1,169","1,060","1,055","1,011",787,946,,,,,,,,,,,,,
E12000009,South West,Motorcycle users,KSI (unadjusted),493,459,511,512,516,497,534,519,406,482,,,,,,,,,,,,,
E92000001,England,Motorcycle users,KSI (unadjusted),"4,752","4,645","4,988","4,847","5,289","5,361","5,266","5,020","3,954","4,625",,,,,,,,,,,,,
W92000004,Wales,Motorcycle users,KSI (unadjusted),213,246,282,273,254,252,240,247,190,225,,,,,,,,,,,,,
S92000003,Scotland,Motorcycle users,KSI (unadjusted),363,303,350,283,298,310,315,303,261,312,,,,,,,,,,,,,
K03000001,Great Britain,Motorcycle users,KSI (unadjusted),"5,328","5,194","5,620","5,403","5,841","5,923","5,821","5,570","4,405","5,162",,,,,,,,,,,,,
N92000002,Northern Ireland,Motorcycle users,KSI (unadjusted),,106,102,88,96,97,113,93,96,106,,,,,,,,,,,,,
K02000001,United Kingdom,Motorcycle users,KSI (unadjusted),"5,328","5,300","5,722","5,491","5,937","6,020","5,934","5,663","4,501","5,268",,,,,,,,,,,,,
E12000001,North East,Car occupants,KSI (unadjusted),333,254,301,324,337,368,352,412,249,361,,,,,,,,,,,,,
E12000002,North West,Car occupants,KSI (unadjusted),881,833,968,969,892,926,853,"1,141",886,"1,107",,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Car occupants,KSI (unadjusted),858,858,830,779,938,"1,045","1,168","1,039",822,"1,166",,,,,,,,,,,,,
E12000004,East Midlands,Car occupants,KSI (unadjusted),936,827,866,794,860,820,859,923,707,733,,,,,,,,,,,,,
E12000005,West Midlands,Car occupants,KSI (unadjusted),748,645,724,784,913,901,823,797,607,799,,,,,,,,,,,,,
E12000006,East of England,Car occupants,KSI (unadjusted),"1,062","1,013",945,958,"1,229","1,232","1,253","1,234",976,"1,119",,,,,,,,,,,,,
E12000007,London,Car occupants,KSI (unadjusted),471,359,331,335,395,541,679,606,433,482,,,,,,,,,,,,,
E12000008,South East,Car occupants,KSI (unadjusted),"1,459","1,489","1,644","1,499","1,748","1,584","1,797","1,767","1,511","1,532",,,,,,,,,,,,,
E12000009,South West,Car occupants,KSI (unadjusted),851,794,868,907,945,921,887,871,651,762,,,,,,,,,,,,,
E92000001,England,Car occupants,KSI (unadjusted),"7,599","7,072","7,477","7,349","8,257","8,338","8,671","8,790","6,842","8,061",,,,,,,,,,,,,
W92000004,Wales,Car occupants,KSI (unadjusted),494,494,542,524,494,469,534,531,341,467,,,,,,,,,,,,,
S92000003,Scotland,Car occupants,KSI (unadjusted),938,837,790,725,883,738,755,"1,033",701,784,,,,,,,,,,,,,
K03000001,Great Britain,Car occupants,KSI (unadjusted),"9,031","8,403","8,809","8,598","9,634","9,545","9,960","10,354","7,884","9,312",,,,,,,,,,,,,
N92000002,Northern Ireland,Car occupants,KSI (unadjusted),,409,429,436,525,468,427,451,344,,,,,,,,,,,,,,
K02000001,United Kingdom,Car occupants,KSI (unadjusted),"9,031","8,812","9,238","9,034","10,159","10,013","10,387","10,805","8,228","9,312",,,,,,,,,,,,,
E12000001,North East,Pedestrians,KSI (adjusted),353,317,283,309,251,234,272,286,183,210,,,,,,,,,,,,,
E12000002,North West,Pedestrians,KSI (adjusted),"1,153","1,084","1,100","1,034","1,081","1,026","1,091",928,581,747,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedestrians,KSI (adjusted),872,748,808,768,636,714,743,661,494,558,,,,,,,,,,,,,
E12000004,East Midlands,Pedestrians,KSI (adjusted),522,457,523,504,466,502,525,536,372,444,,,,,,,,,,,,,
E12000005,West Midlands,Pedestrians,KSI (adjusted),621,596,593,602,560,517,563,535,405,419,,,,,,,,,,,,,
E12000006,East of England,Pedestrians,KSI (adjusted),563,485,534,494,476,503,483,517,348,406,,,,,,,,,,,,,
E12000007,London,Pedestrians,KSI (adjusted),"1,655","1,380","1,366","1,282","1,279","1,409","1,368","1,349",865,962,,,,,,,,,,,,,
E12000008,South East,Pedestrians,KSI (adjusted),923,905,978,974,872,833,866,827,630,725,,,,,,,,,,,,,
E12000009,South West,Pedestrians,KSI (adjusted),471,501,451,435,459,446,450,431,284,363,,,,,,,,,,,,,
E92000001,England,Pedestrians,KSI (adjusted),"7,133","6,473","6,636","6,401","6,081","6,184","6,360","6,072","4,162","4,834",,,,,,,,,,,,,
W92000004,Wales,Pedestrians,KSI (adjusted),294,352,330,286,278,263,274,301,203,219,,,,,,,,,,,,,
S92000003,Scotland,Pedestrians,KSI (adjusted),862,762,792,770,746,660,619,625,357,340,,,,,,,,,,,,,
K03000001,Great Britain,Pedestrians,KSI (adjusted),"8,290","7,588","7,758","7,458","7,105","7,106","7,252","6,998","4,722","5,393",,,,,,,,,,,,,
N92000002,Northern Ireland,Pedestrians,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,Pedestrians,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,Pedal cyclists,KSI (adjusted),148,151,163,171,128,134,104,129,141,127,,,,,,,,,,,,,
E12000002,North West,Pedal cyclists,KSI (adjusted),577,596,675,563,570,625,596,487,504,517,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedal cyclists,KSI (adjusted),455,490,529,490,430,463,434,460,407,371,,,,,,,,,,,,,
E12000004,East Midlands,Pedal cyclists,KSI (adjusted),336,325,377,327,314,339,329,316,353,356,,,,,,,,,,,,,
E12000005,West Midlands,Pedal cyclists,KSI (adjusted),262,261,278,253,282,255,241,214,239,235,,,,,,,,,,,,,
E12000006,East of England,Pedal cyclists,KSI (adjusted),375,384,402,404,385,359,395,404,359,372,,,,,,,,,,,,,
E12000007,London,Pedal cyclists,KSI (adjusted),"1,053",881,874,760,742,684,783,778,870,999,,,,,,,,,,,,,
E12000008,South East,Pedal cyclists,KSI (adjusted),782,883,"1,016",943,921,855,878,817,898,804,,,,,,,,,,,,,
E12000009,South West,Pedal cyclists,KSI (adjusted),343,321,373,379,317,363,341,335,316,343,,,,,,,,,,,,,
E92000001,England,Pedal cyclists,KSI (adjusted),"4,332","4,291","4,687","4,291","4,089","4,078","4,101","3,940","4,087","4,124",,,,,,,,,,,,,
W92000004,Wales,Pedal cyclists,KSI (adjusted),122,140,182,165,152,154,142,164,134,135,,,,,,,,,,,,,
S92000003,Scotland,Pedal cyclists,KSI (adjusted),325,314,317,306,300,303,276,244,255,205,,,,,,,,,,,,,
K03000001,Great Britain,Pedal cyclists,KSI (adjusted),"4,779","4,745","5,187","4,762","4,542","4,535","4,519","4,347","4,476","4,464",,,,,,,,,,,,,
N92000002,Northern Ireland,Pedal cyclists,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,Pedal cyclists,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,Motorcycle users,KSI (adjusted),203,216,186,231,177,174,162,178,151,158,,,,,,,,,,,,,
E12000002,North West,Motorcycle users,KSI (adjusted),823,782,876,771,790,745,699,536,446,487,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Motorcycle users,KSI (adjusted),685,702,680,661,621,587,584,525,398,488,,,,,,,,,,,,,
E12000004,East Midlands,Motorcycle users,KSI (adjusted),578,551,613,569,565,538,521,537,425,476,,,,,,,,,,,,,
E12000005,West Midlands,Motorcycle users,KSI (adjusted),484,494,532,496,477,424,407,396,285,349,,,,,,,,,,,,,
E12000006,East of England,Motorcycle users,KSI (adjusted),685,696,759,696,677,576,541,531,486,489,,,,,,,,,,,,,
E12000007,London,Motorcycle users,KSI (adjusted),"1,160","1,025","1,115","1,151","1,120","1,099","1,084","1,021",767,927,,,,,,,,,,,,,
E12000008,South East,Motorcycle users,KSI (adjusted),"1,172","1,205","1,326","1,321","1,322","1,196","1,190","1,124",883,"1,054",,,,,,,,,,,,,
E12000009,South West,Motorcycle users,KSI (adjusted),587,555,612,598,598,581,608,598,463,553,,,,,,,,,,,,,
E92000001,England,Motorcycle users,KSI (adjusted),"6,377","6,227","6,699","6,494","6,347","5,920","5,795","5,444","4,303","4,982",,,,,,,,,,,,,
W92000004,Wales,Motorcycle users,KSI (adjusted),275,316,355,341,322,312,298,312,234,280,,,,,,,,,,,,,
S92000003,Scotland,Motorcycle users,KSI (adjusted),520,447,496,428,429,414,423,345,261,312,,,,,,,,,,,,,
K03000001,Great Britain,Motorcycle users,KSI (adjusted),"7,172","6,990","7,551","7,264","7,099","6,646","6,516","6,101","4,798","5,574",,,,,,,,,,,,,
N92000002,Northern Ireland,Motorcycle users,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
K02000001,United Kingdom,Motorcycle users,KSI (adjusted),,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,Car occupants,KSI (adjusted),501,400,477,505,385,393,373,436,270,386,,,,,,,,,,,,,
E12000002,North West,Car occupants,KSI (adjusted),"1,517","1,422","1,607","1,573","1,377","1,421","1,362","1,429","1,089","1,222",,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Car occupants,KSI (adjusted),"1,400","1,328","1,353","1,301","1,178","1,263","1,364","1,212",956,"1,239",,,,,,,,,,,,,
